sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
AU;PCT/CN2023/099529;AU2023296414;E;2024-12-24;
AU;PCT/US2023/069368;AU2023299284;E;2024-12-24;
AU;PCT/US2023/027518;AU2023308187;E;2024-12-24;
AU;PCT/CN2023/102996;AU2023300766;E;2024-12-24;
AU;PCT/CN2023/091893;AU2023304471;E;2024-12-26;
AU;PCT/US2023/068765;AU2023298444;E;2024-12-26;
AU;PCT/GB2023/051875;AU2023311399;E;2024-12-26;
AU;PCT/JP2023/019455;AU2023275320;E;2024-12-26;
AU;PCT/CN2023/092197;AU2023277415;E;2024-12-26;
AU;PCT/US2023/069061;AU2023298040;E;2024-12-26;
AU;PCT/US2023/026674;AU2023306900;E;2024-12-26;
AU;PCT/US2023/024996;AU2023355991;E;2024-12-27;
AU;PCT/US2023/025967;AU2023299891;E;2024-12-27;
AU;PCT/US2023/069917;AU2023307180;E;2024-12-27;
AU;PCT/JP2023/025234;AU2023304063;E;2024-12-27;
AU;PCT/GB2023/051755;AU2023303907;E;2024-12-27;
AU;PCT/US2023/070208;AU2023307186;E;2024-12-27;
AU;PCT/EP2023/068659;AU2023303084;E;2024-12-27;
AU;PCT/US2023/070209;AU2023333622;E;2024-12-27;
AU;PCT/US2023/026577;AU2023301233;E;2024-12-27;
AU;PCT/SG2023/050463;AU2023298784;E;2024-12-27;
AU;PCT/US2023/069875;AU2023305544;E;2024-12-27;
AU;PCT/IL2024/050136;AU2024217138;E;2024-12-27;
AU;PCT/US2023/071174;AU2023314791;E;2024-12-27;
AU;PCT/US2023/027425;AU2023306987;E;2024-12-27;
AU;PCT/CN2023/090392;AU2023394916;E;2024-12-27;
AU;PCT/US2023/025486;AU2023292505;E;2024-12-27;
AU;PCT/EP2023/066916;AU2023288785;E;2024-12-27;
AU;PCT/GB2023/051623;AU2023288123;E;2024-12-27;
AU;PCT/US2023/070241;AU2023307218;E;2024-12-28;
AU;PCT/US2023/027106;AU2023302944;E;2024-12-28;
AU;PCT/CN2023/116100;AU2023332824;E;2024-12-29;
AU;PCT/EP2023/067235;AU2023301140;E;2024-12-30;
AU;PCT/CN2023/109819;AU2023368990;E;2024-12-30;
AU;PCT/US2023/069414;AU2023301056;E;2024-12-30;
AU;PCT/US2023/068760;AU2023289375;E;2024-12-30;
AU;PCT/EP2023/068039;AU2023296895;E;2024-12-30;
AU;PCT/US2023/071200;AU2023312974;E;2024-12-30;
AU;PCT/US2023/076226;AU2023360631;E;2024-12-30;
AU;PCT/US2023/029050;AU2023317493;E;2024-12-30;
AU;PCT/US2023/067719;AU2023279086;E;2024-12-30;
AU;PCT/AU2023/050687;AU2023314819;E;2024-12-30;
AU;PCT/US2023/069412;AU2023298145;E;2024-12-30;
AU;PCT/AU2023/051057;AU2023370512;E;2024-12-31;
AU;PCT/US2023/024928;AU2023283766;E;2024-12-31;
AU;PCT/US2023/068240;AU2023292912;E;2024-12-31;
AU;PCT/US2023/070766;AU2023309585;E;2024-12-31;
AU;PCT/US2023/021539;AU2023284865;E;2024-12-31;
AU;PCT/US2023/026662;AU2023300556;E;2024-12-31;
AU;PCT/US2023/026729;AU2023298420;E;2024-12-31;
AU;PCT/US2023/069705;AU2023307691;E;2024-12-31;
AU;PCT/US2023/070006;AU2023307945;E;2024-12-31;
AU;PCT/EP2023/067029;AU2023286829;E;2024-12-31;
AU;PCT/US2023/071024;AU2023314633;E;2024-12-31;
AU;PCT/US2023/071041;AU2023312905;E;2024-12-31;
AU;PCT/US2023/024995;AU2023285052;E;2024-12-31;
AU;PCT/KR2023/008508;AU2023301178;E;2024-12-31;
AU;PCT/US2023/071324;AU2023320333;E;2024-12-31;
AU;PCT/US2023/024281;AU2023278882;E;2024-12-31;
AU;PCT/US2023/068787;AU2023300967;E;2024-12-31;
AU;PCT/EP2023/068496;AU2023304674;E;2024-12-31;
AU;PCT/US2023/069147;AU2023301383;E;2024-12-31;
AU;PCT/US2023/068147;AU2023292904;E;2024-12-31;
AU;PCT/KR2023/009649;AU2023304126;E;2024-12-31;
AU;PCT/US2022/035591;AU2022466765;E;2024-12-31;
AU;PCT/US2023/024442;AU2023285657;E;2024-12-31;
AU;PCT/CN2023/074562;AU2023310516;E;2025-01-01;
AU;PCT/US2023/067978;AU2023282892;E;2025-01-01;
AU;PCT/US2023/027403;AU2023306983;E;2025-01-02;
AU;PCT/US2023/068369;AU2023293067;E;2025-01-02;
AU;PCT/CA2023/050755;AU2023282133;E;2025-01-02;
AU;PCT/CA2023/050754;AU2023279391;E;2025-01-02;
