sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
AZ;PCT/IB2013/050062;a20143032;W;;
AZ;PCT/IB2013/050062;a20143032;G;;
AZ;PCT/TR2021/051354;a20230074;D;;
AZ;PCT/TR2021/051354;a20230074;W;;
AZ;PCT/TR2021/051354;a20230074;G;;
AZ;PCT/IB2013/050062;a20143032;C;;
AZ;PCT/IB2013/050062;a20143032;R;;
AZ;PCT/TR2021/051354;a20230074;C;;
AZ;PCT/TR2021/051354;a20230074;R;;
AZ;PCT/IB2013/050062;a20143032;D;;
AZ;PCT/IB2013/050062;a20143032;E;2014-08-01;
AZ;PCT/IB2013/050062;a20143032;P;2019-09-30;
AZ;PCT/TR2021/051354;a20230074;E;2023-05-22;
AZ;PCT/EP2022/067623;a20240014;E;2024-02-06;
AZ;PCT/EP2022/067625;a20240015;E;2024-02-06;
AZ;PCT/IL2023/050109;a20240141;E;2024-09-18;
AZ;PCT/EP2022/067554;a20240179;E;2024-11-27;
AZ;PCT/TR2021/051354;a20230074;P;2024-11-30;
