sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
CN;PCT/JP2023/019840;202380038601.9;R;;
CN;PCT/JP2023/019840;202380038601.9;W;;
CN;PCT/JP2023/019883;202380035649.4;C;;
CN;PCT/JP2023/019883;202380035649.4;D;;
CN;PCT/JP2023/019883;202380035649.4;G;;
CN;PCT/JP2023/019883;202380035649.4;R;;
CN;PCT/JP2023/019883;202380035649.4;W;;
CN;PCT/JP2023/019938;202380036633.5;C;;
CN;PCT/JP2023/019938;202380036633.5;D;;
CN;PCT/JP2023/019938;202380036633.5;G;;
CN;PCT/JP2023/019938;202380036633.5;R;;
CN;PCT/JP2023/019938;202380036633.5;W;;
CN;PCT/JP2023/020027;202380034508.0;C;;
CN;PCT/JP2023/020027;202380034508.0;D;;
CN;PCT/JP2023/020027;202380034508.0;G;;
CN;PCT/JP2023/020027;202380034508.0;R;;
CN;PCT/JP2023/020027;202380034508.0;W;;
CN;PCT/JP2023/020137;202380032328.9;C;;
CN;PCT/JP2023/020137;202380032328.9;D;;
CN;PCT/JP2023/020137;202380032328.9;G;;
CN;PCT/JP2023/020137;202380032328.9;R;;
CN;PCT/JP2023/020137;202380032328.9;W;;
CN;PCT/JP2023/020238;202380035266.7;C;;
CN;PCT/JP2023/020238;202380035266.7;D;;
CN;PCT/JP2023/020238;202380035266.7;G;;
CN;PCT/JP2023/020238;202380035266.7;R;;
CN;PCT/JP2023/020238;202380035266.7;W;;
CN;PCT/JP2023/020301;202380035183.8;C;;
CN;PCT/JP2023/020301;202380035183.8;D;;
CN;PCT/JP2023/020301;202380035183.8;G;;
CN;PCT/JP2023/020301;202380035183.8;R;;
CN;PCT/JP2023/020301;202380035183.8;W;;
CN;PCT/JP2023/020430;202380035776.4;C;;
CN;PCT/JP2023/020430;202380035776.4;D;;
CN;PCT/JP2023/020430;202380035776.4;G;;
CN;PCT/JP2023/020430;202380035776.4;R;;
CN;PCT/JP2023/020430;202380035776.4;W;;
CN;PCT/JP2023/020518;202380035230.9;C;;
CN;PCT/JP2023/020518;202380035230.9;D;;
CN;PCT/JP2023/020518;202380035230.9;G;;
CN;PCT/JP2023/020518;202380035230.9;R;;
CN;PCT/JP2023/020518;202380035230.9;W;;
CN;PCT/JP2023/020553;202380037043.4;C;;
CN;PCT/JP2023/020553;202380037043.4;D;;
CN;PCT/JP2023/020553;202380037043.4;G;;
CN;PCT/JP2023/020553;202380037043.4;R;;
CN;PCT/JP2023/020553;202380037043.4;W;;
CN;PCT/JP2023/020558;202380034882.0;C;;
CN;PCT/JP2023/020558;202380034882.0;D;;
CN;PCT/JP2023/020558;202380034882.0;G;;
CN;PCT/JP2023/020558;202380034882.0;R;;
CN;PCT/JP2023/020558;202380034882.0;W;;
CN;PCT/JP2023/020654;202380037071.6;C;;
CN;PCT/JP2023/020654;202380037071.6;D;;
CN;PCT/JP2023/020654;202380037071.6;G;;
CN;PCT/JP2023/020654;202380037071.6;R;;
CN;PCT/JP2023/020654;202380037071.6;W;;
CN;PCT/JP2023/020936;202380036363.8;C;;
CN;PCT/JP2023/020936;202380036363.8;D;;
CN;PCT/JP2023/020936;202380036363.8;G;;
CN;PCT/JP2023/020936;202380036363.8;R;;
CN;PCT/JP2023/020936;202380036363.8;W;;
CN;PCT/JP2023/021087;202380036335.6;C;;
CN;PCT/JP2023/021087;202380036335.6;D;;
