sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
EP;PCT/US2023/015279;2023775473;G;;
EP;PCT/IB2023/052641;2023716929;C;;
EP;PCT/SG2023/050149;2023775395;D;;
EP;PCT/CN2022/127964;2022963084;W;;
EP;PCT/US2023/063569;2023775783;G;;
EP;PCT/US2023/064790;2023720696;C;;
EP;PCT/CN2023/085930;2023778536;D;;
EP;PCT/EP2023/055807;2023708825;W;;
EP;PCT/KR2023/003155;2023799547;G;;
EP;PCT/CN2023/078336;2023773560;C;;
EP;PCT/CN2023/093650;2023806828;D;;
EP;PCT/EP2023/057180;2023712288;W;;
EP;PCT/EP2024/056221;2024712169;G;;
EP;PCT/JP2023/010253;2023774725;C;;
EP;PCT/IB2023/052354;2023713970;W;;
EP;PCT/EP2023/057370;2023715055;W;;
EP;PCT/KR2022/018849;2022933780;R;;
EP;PCT/US2023/010421;2023775420;C;;
EP;PCT/US2023/064813;2023717381;W;;
EP;PCT/EP2023/050256;2023700611;R;;
EP;PCT/IB2022/000141;2022722885;G;;
EP;PCT/US2023/064765;2023775843;C;;
EP;PCT/IB2023/000157;2023726583;W;;
EP;PCT/EP2023/056134;2023710996;R;;
EP;PCT/CN2022/089398;2022938958;G;;
EP;PCT/JP2023/016117;2023796320;C;;
EP;PCT/ES2023/070169;2023774061;W;;
EP;PCT/EP2023/057388;2023712913;R;;
EP;PCT/EP2023/055209;2023709171;G;;
EP;PCT/KR2024/004195;2024785144;C;;
EP;PCT/JP2023/010968;2023774893;W;;
EP;PCT/US2023/015164;2023714424;R;;
EP;PCT/EP2023/056848;2023712507;G;;
EP;PCT/CN2022/082715;2022932657;D;;
EP;PCT/US2023/015660;2023775513;W;;
EP;PCT/US2023/015607;2023716964;R;;
EP;PCT/EP2023/057545;2023713663;G;;
EP;PCT/EP2023/050057;2023700396;D;;
EP;PCT/US2023/064800;2023775867;W;;
EP;PCT/US2023/015774;2023720402;R;;
EP;PCT/US2023/014133;2023715289;G;;
EP;PCT/EP2023/056459;2023710369;D;;
EP;PCT/US2023/023114;2023808442;W;;
EP;PCT/CN2023/082358;2023773755;R;;
EP;PCT/US2023/015981;2023718103;G;;
EP;PCT/CN2022/082170;2022932567;C;;
EP;PCT/EP2023/057100;2023713629;D;;
EP;PCT/JP2023/009285;2023774588;R;;
EP;PCT/US2022/047994;2022933851;C;;
EP;PCT/EP2023/057320;2023715050;D;;
EP;PCT/US2023/015391;2023775476;R;;
EP;PCT/EP2023/054346;2023707672;C;;
EP;PCT/US2023/015992;2023718106;D;;
EP;PCT/US2023/064590;2023775804;R;;
EP;PCT/US2023/019553;2023725480;G;;
EP;PCT/EP2023/025109;2023711948;C;;
EP;PCT/US2023/024921;2023738972;D;;
