sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
NZ;PCT/EP2023/070938;816871;G;;
NZ;PCT/EP2023/065608;817349;G;;
NZ;PCT/EP2023/068443;816876;R;;
NZ;PCT/IB2022/056438;817137;R;;
NZ;PCT/GB2023/051230;816934;R;;
NZ;PCT/EP2023/062589;816801;W;;
NZ;PCT/US2023/024152;816874;W;;
NZ;PCT/CN2023/098264;817040;W;;
NZ;PCT/US2023/068586;816855;C;;
NZ;PCT/US2023/022681;817291;C;;
NZ;PCT/US2023/073033;817449;D;;
NZ;PCT/US2023/024721;817080;D;;
NZ;PCT/EP2023/063424;816898;D;;
NZ;PCT/EP2023/063472;816883;G;;
NZ;PCT/AU2022/050817;816901;G;;
NZ;PCT/US2023/024944;817032;G;;
NZ;PCT/EP2023/066436;816433;R;;
NZ;PCT/US2023/021060;816587;R;;
NZ;PCT/US2023/067918;817151;R;;
NZ;PCT/US2023/068806;816903;W;;
NZ;PCT/EP2023/066647;817324;W;;
NZ;PCT/US2023/069102;817412;C;;
NZ;PCT/US2023/068925;817239;C;;
NZ;PCT/AU2023/050488;816977;C;;
NZ;PCT/US2023/023770;816712;D;;
NZ;PCT/IB2023/054501;816705;D;;
NZ;PCT/EP2023/064122;817052;D;;
NZ;PCT/US2023/023586;816849;G;;
NZ;PCT/US2023/070306;816882;G;;
NZ;PCT/US2023/067064;817192;G;;
NZ;PCT/EP2023/062404;816820;R;;
NZ;PCT/US2023/068555;817328;R;;
NZ;PCT/AU2023/050470;817417;W;;
NZ;PCT/US2021/022322;817031;W;;
NZ;PCT/EP2023/068805;816985;W;;
NZ;PCT/IB2023/054777;816769;C;;
NZ;PCT/EP2023/065236;817228;C;;
NZ;PCT/US2023/026527;817070;C;;
NZ;PCT/GB2023/051393;816828;D;;
NZ;PCT/NZ2023/050056;817276;D;;
NZ;PCT/US2023/024711;817101;C;;
NZ;PCT/US2023/021153;816936;D;;
NZ;PCT/US2023/069968;817323;D;;
NZ;PCT/CN2023/098081;816973;G;;
NZ;PCT/US2023/027741;817376;G;;
NZ;PCT/IB2023/056611;816867;R;;
NZ;PCT/US2023/027420;816815;R;;
NZ;PCT/US2023/068426;817078;R;;
NZ;PCT/CN2023/098076;816847;W;;
NZ;PCT/NZ2023/050060;816866;W;;
NZ;PCT/IB2023/056513;817200;W;;
NZ;PCT/EP2023/062499;817028;C;;
NZ;PCT/US2023/025987;817318;C;;
NZ;PCT/US2023/025386;817385;D;;
NZ;PCT/US2023/024679;817041;D;;
NZ;PCT/US2023/068486;816989;D;;
NZ;PCT/IL2023/050449;816739;G;;
NZ;PCT/EP2023/072293;817202;G;;
NZ;PCT/KR2023/008062;817111;G;;
NZ;PCT/AU2023/050609;817342;R;;
NZ;PCT/EP2023/065438;817011;R;;
NZ;PCT/US2023/069124;817201;R;;
NZ;PCT/US2023/067250;816852;W;;
NZ;PCT/US2023/067487;817357;W;;
NZ;PCT/GB2023/051229;816857;C;;
NZ;PCT/US2023/022390;817130;C;;
NZ;PCT/US2023/069448;817007;C;;
NZ;PCT/AU2023/050526;816833;D;;
NZ;PCT/EP2023/065588;816859;D;;
NZ;PCT/EP2023/063538;817157;D;;
NZ;PCT/FI2023/050413;816738;G;;
NZ;PCT/US2023/024898;817123;G;;
NZ;PCT/US2023/022733;817206;G;;
NZ;PCT/AU2023/050384;817008;R;;
NZ;PCT/US2023/025780;817354;R;;
NZ;PCT/IB2023/056626;816862;W;;
NZ;PCT/US2022/033213;816842;W;;
NZ;PCT/US2023/067008;817034;W;;
NZ;PCT/US2023/068310;816827;C;;
NZ;PCT/US2023/068329;816834;C;;
NZ;PCT/SE2023/050642;817195;W;;
NZ;PCT/EP2023/067403;817064;W;;
NZ;PCT/US2023/021180;816188;C;;
NZ;PCT/JP2023/022590;817069;C;;
NZ;PCT/EP2023/065235;817121;C;;
NZ;PCT/JP2023/021761;816885;D;;
NZ;PCT/US2023/026994;817359;D;;
NZ;PCT/CN2023/101302;817409;G;;
NZ;PCT/US2023/026528;817068;G;;
NZ;PCT/EP2023/071118;817421;G;;
NZ;PCT/AU2023/050482;816717;R;;
NZ;PCT/AU2023/050641;817275;R;;
NZ;PCT/AU2023/050454;817122;R;;
NZ;PCT/GB2023/051401;816752;W;;
NZ;PCT/JP2023/021978;817150;W;;
NZ;PCT/CN2024/095625;817227;W;;
NZ;PCT/US2023/067915;817113;C;;
NZ;PCT/US2023/069857;817366;C;;
NZ;PCT/JP2023/020924;816884;D;;
NZ;PCT/CZ2023/050037;817050;D;;
NZ;PCT/EP2023/068080;817035;D;;
NZ;PCT/US2023/027009;816802;G;;
NZ;PCT/US2023/024073;816719;G;;
NZ;PCT/IB2023/057033;817110;G;;
NZ;PCT/US2023/069410;816832;R;;
NZ;PCT/US2023/027438;817176;R;;
NZ;PCT/SE2023/050643;817197;R;;
NZ;PCT/CN2023/103576;817128;W;;
NZ;PCT/KR2023/006480;816893;W;;
NZ;PCT/KR2023/009159;816324;C;;
NZ;PCT/CN2023/111270;816840;C;;
NZ;PCT/US2023/068408;817086;C;;
NZ;PCT/US2023/068821;817317;D;;
NZ;PCT/ES2023/070416;816935;D;;
NZ;PCT/CN2023/100225;817165;D;;
NZ;PCT/US2023/066349;816713;G;;
NZ;PCT/US2023/069704;817390;G;;
NZ;PCT/US2023/027456;817248;G;;
NZ;PCT/EP2023/069447;816835;R;;
NZ;PCT/CN2023/101761;817391;R;;
