sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
TH;PCT/US2014/021369;1501005102;E;2015-09-04;
TH;PCT/JP2024/016452;2401008399;E;2024-12-19;
TH;PCT/JP2023/023828;2401008386;E;2024-12-19;
TH;PCT/JP2023/022590;2401008377;E;2024-12-19;
TH;PCT/KR2023/008779;2401008401;E;2024-12-19;
TH;PCT/JP2023/021020;2401008391;E;2024-12-19;
TH;PCT/IN2023/050595;2401008392;E;2024-12-19;
TH;PCT/CN2023/087998;2401008380;E;2024-12-19;
TH;PCT/IB2023/056199;2401008395;E;2024-12-19;
TH;PCT/KR2023/008664;2401008396;E;2024-12-19;
TH;PCT/JP2023/019916;2401008387;E;2024-12-19;
TH;PCT/JP2023/009730;2401008374;E;2024-12-19;
TH;PCT/JP2023/023440;2401008400;E;2024-12-19;
TH;PCT/CN2022/122480;2401008403;E;2024-12-19;
TH;PCT/US2023/068717;2401008382;E;2024-12-19;
TH;PCT/EP2023/066818;2401008381;E;2024-12-19;
TH;PCT/IB2023/056193;2401008393;E;2024-12-19;
TH;PCT/JP2022/045893;2401008389;E;2024-12-19;
TH;PCT/JP2023/023453;2401008388;E;2024-12-19;
TH;PCT/CN2022/101069;2401008378;E;2024-12-19;
TH;PCT/EP2023/065241;2401008398;E;2024-12-19;
TH;PCT/CN2022/122538;2401008402;E;2024-12-19;
TH;PCT/JP2023/020011;2401008384;E;2024-12-19;
TH;PCT/JP2023/021937;2401008375;E;2024-12-19;
TH;PCT/JP2023/023442;2401008376;E;2024-12-19;
TH;PCT/GB2023/051605;2401008404;E;2024-12-19;
TH;PCT/JP2023/023241;2401008390;E;2024-12-19;
TH;PCT/IB2023/056121;2401008379;E;2024-12-19;
TH;PCT/US2023/025747;2401008397;E;2024-12-19;
TH;PCT/IB2023/057436;2401008469;E;2024-12-23;
TH;PCT/JP2023/023492;2401008475;E;2024-12-23;
TH;PCT/JP2023/023439;2401008457;E;2024-12-23;
TH;PCT/JP2023/023693;2401008446;E;2024-12-23;
TH;PCT/KR2023/004476;2401008482;E;2024-12-23;
TH;PCT/CN2023/098219;2401008466;E;2024-12-23;
TH;PCT/JP2023/023491;2401008476;E;2024-12-23;
TH;PCT/JP2023/018998;2401008444;E;2024-12-23;
TH;PCT/IN2022/051039;2401008459;E;2024-12-23;
TH;PCT/JP2023/023487;2401008486;E;2024-12-23;
TH;PCT/JP2023/022827;2401008477;E;2024-12-23;
TH;PCT/US2023/026012;2401008456;E;2024-12-23;
TH;PCT/JP2023/022204;2401008442;E;2024-12-23;
TH;PCT/CN2023/116346;2401008487;E;2024-12-23;
TH;PCT/CN2023/099529;2401008468;E;2024-12-23;
TH;PCT/KR2023/008437;2401008479;E;2024-12-23;
TH;PCT/EP2023/067870;2401008458;E;2024-12-23;
TH;PCT/JP2023/035632;2401008447;E;2024-12-23;
TH;PCT/CN2023/101648;2401008473;E;2024-12-23;
TH;PCT/CN2023/098076;2401008472;E;2024-12-23;
TH;PCT/AT2023/060201;2401008467;E;2024-12-23;
TH;PCT/US2022/034810;2401008453;E;2024-12-23;
TH;PCT/JP2023/022205;2401008443;E;2024-12-23;
TH;PCT/CN2023/115693;2401008474;E;2024-12-23;
TH;PCT/JP2023/023493;2401008485;E;2024-12-23;
TH;PCT/CN2022/136073;2401008464;E;2024-12-23;
TH;PCT/EP2023/066500;2401008451;E;2024-12-23;
TH;PCT/JP2023/023692;2401008445;E;2024-12-23;
TH;PCT/CN2023/120676;2401008483;E;2024-12-23;
TH;PCT/JP2023/023485;2401008471;E;2024-12-23;
TH;PCT/JP2023/015134;2401008481;E;2024-12-23;
TH;PCT/EP2023/062033;2401008448;E;2024-12-23;
TH;PCT/CN2022/101026;2401008452;E;2024-12-23;
TH;PCT/CN2023/102180;2401008470;E;2024-12-23;
TH;PCT/US2023/020054;2401008536;E;2024-12-25;
TH;PCT/JP2023/025532;2401008568;E;2024-12-25;
TH;PCT/KR2023/019685;2401008556;E;2024-12-25;
TH;PCT/IB2023/055730;2401008532;E;2024-12-25;
TH;PCT/JP2023/021771;2401008554;E;2024-12-25;
TH;PCT/SG2022/050434;2401008550;E;2024-12-25;
TH;PCT/EP2023/067882;2401008529;E;2024-12-25;
TH;PCT/IB2023/056362;2401008531;E;2024-12-25;
TH;PCT/CN2023/121619;2401008540;E;2024-12-25;
TH;PCT/CN2022/142745;2401008567;E;2024-12-25;
TH;PCT/JP2023/024914;2401008533;E;2024-12-25;
TH;PCT/IB2023/055731;2401008534;E;2024-12-25;
TH;PCT/US2023/025995;2401008535;E;2024-12-25;
TH;PCT/EP2023/053892;2401008557;E;2024-12-25;
TH;PCT/EP2023/067944;2401008541;E;2024-12-25;
TH;PCT/CN2024/099308;2401008555;E;2024-12-25;
TH;PCT/JP2023/024840;2401008548;E;2024-12-25;
TH;PCT/JP2023/023490;2401008566;E;2024-12-25;
TH;PCT/US2023/069056;2401008553;E;2024-12-25;
TH;PCT/US2023/025013;2401008542;E;2024-12-25;
TH;PCT/JP2022/026043;2401008549;E;2024-12-25;
TH;PCT/JP2023/023494;2401008565;E;2024-12-25;
TH;PCT/CN2024/073985;2401008551;E;2024-12-25;
TH;PCT/JP2023/025527;2401008537;E;2024-12-25;
TH;PCT/JP2023/021546;2401008530;E;2024-12-25;
TH;PCT/JP2022/027374;2401008539;E;2024-12-25;
TH;PCT/US2023/069124;2401008546;E;2024-12-25;
TH;PCT/JP2023/024507;2401008538;E;2024-12-25;
