sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
US;PCT/EP2022/076388;18684299;R;;
US;PCT/PH2020/050005;17413197;C;;
US;PCT/IB2022/058947;18696212;D;;
US;PCT/KR2022/007357;18700405;G;;
US;PCT/CN2023/073079;18290837;W;;
US;PCT/EP2021/073896;18688050;R;;
US;PCT/EP2022/078936;18708198;C;;
US;PCT/CN2023/093043;18258545;D;;
US;PCT/RU2022/050227;18692717;G;;
US;PCT/US2022/080323;18701861;R;;
US;PCT/FR2022/051544;18294834;C;;
US;PCT/IB2022/000462;18573940;D;;
US;PCT/JP2021/038744;18697514;G;;
US;PCT/CN2022/131068;18709088;R;;
US;PCT/CN2022/070689;18707028;C;;
US;PCT/US2021/014888;18262615;D;;
US;PCT/EP2022/078391;18698114;G;;
US;PCT/CN2022/138425;18698250;R;;
US;PCT/EP2022/080230;18708187;C;;
US;PCT/CN2021/118195;18690923;D;;
US;PCT/JP2022/035074;18692854;G;;
US;PCT/EP2022/076455;18693830;C;;
US;PCT/US2022/043938;18692919;R;;
US;PCT/US2022/013699;18262781;C;;
US;PCT/KR2023/000059;18685136;D;;
US;PCT/JP2021/031121;18684932;G;;
US;PCT/FI2022/050588;18690288;C;;
US;PCT/EP2022/073385;18684004;R;;
US;PCT/EP2022/079062;18699621;C;;
US;PCT/EP2022/074041;18687049;D;;
US;PCT/EP2022/073321;18685293;G;;
US;PCT/US2022/047555;18703492;C;;
US;PCT/CN2023/118936;18685228;R;;
US;PCT/US2022/072620;18692320;C;;
US;PCT/JP2022/043251;18703361;D;;
US;PCT/EP2022/079891;18703621;G;;
US;PCT/CN2022/141071;18571223;D;;
US;PCT/CN2022/095088;18705556;R;;
US;PCT/AU2022/051235;18700874;C;;
US;PCT/KR2021/013782;18473268;D;;
US;PCT/JP2021/041876;18709746;G;;
US;PCT/EP2022/075072;18700812;W;;
US;PCT/IB2022/059529;18698412;D;;
US;PCT/JP2022/038719;18698317;G;;
US;PCT/EP2020/074132;17637024;R;;
US;PCT/US2022/048236;18705304;C;;
US;PCT/EP2022/060422;18287664;R;;
US;PCT/US2022/044287;18693483;W;;
US;PCT/KR2022/011653;18294920;D;;
US;PCT/KR2023/011447;18713296;G;;
US;PCT/TR2022/051224;18294932;W;;
US;PCT/KR2022/016268;18703674;C;;
US;PCT/IB2021/060222;18707036;R;;
US;PCT/JP2022/040877;18708112;W;;
US;PCT/DE2022/200178;18687484;D;;
US;PCT/US2022/047355;18703055;G;;
US;PCT/US2022/048565;18701306;W;;
US;PCT/US2022/012363;18261483;C;;
US;PCT/CN2021/123218;18294931;R;;
US;PCT/US2022/078165;18700975;R;;
US;PCT/JP2022/036460;18698216;W;;
US;PCT/DE2022/200227;18699275;D;;
US;PCT/JP2022/034839;18698582;G;;
US;PCT/CN2021/111234;18294908;W;;
US;PCT/KR2022/015648;18698007;C;;
US;PCT/FR2022/051892;18699217;R;;
US;PCT/JP2021/047388;18692866;W;;
US;PCT/US2022/043682;18692505;D;;
US;PCT/EP2022/077912;18700916;G;;
US;PCT/US2022/079590;18702823;W;;
US;PCT/NL2022/050563;18694252;C;;
US;PCT/EP2022/052915;18274079;R;;
US;PCT/JP2022/019718;18685196;W;;
US;PCT/KR2022/002770;18274006;D;;
US;PCT/IB2021/054743;18274004;G;;
US;PCT/US2022/046998;18696810;W;;
US;PCT/JP2022/021145;18567878;C;;
US;PCT/GB2022/050214;18262786;R;;
US;PCT/KR2022/012930;18687752;W;;
US;PCT/JP2022/005532;18706130;D;;
US;PCT/EP2021/078081;18700452;G;;
US;PCT/JP2021/033558;18687905;W;;
US;PCT/IB2022/058487;18692527;R;;
US;PCT/AU2022/051105;18690251;W;;
US;PCT/KR2022/015246;18700820;D;;
US;PCT/JP2022/029202;18294835;G;;
US;PCT/EP2022/051352;18274014;W;;
US;PCT/KR2023/009381;18290852;R;;
US;PCT/CN2022/131169;18709747;W;;
US;PCT/US2022/044232;18693733;D;;
US;PCT/EP2022/076940;18695913;G;;
US;PCT/JP2022/035716;18698967;W;;
US;PCT/EP2022/078529;18700896;R;;
US;PCT/KR2021/016488;17800431;C;;
US;PCT/IB2022/059780;18700402;D;;
US;PCT/EP2022/080204;18703792;G;;
US;PCT/EP2022/079223;18700288;W;;
US;PCT/EP2022/073462;18684249;R;;
US;PCT/KR2023/012467;18708205;C;;
US;PCT/CN2022/095072;18564488;D;;
US;PCT/EP2021/080438;18251563;G;;
US;PCT/US2022/077340;18697605;R;;
US;PCT/EP2021/079037;18703102;C;;
US;PCT/KR2022/012830;18686374;D;;
US;PCT/CN2022/122522;18696250;G;;
US;PCT/JP2021/041494;18707958;R;;
US;PCT/IL2022/051051;18698539;C;;
US;PCT/CN2021/097851;18557084;D;;
US;PCT/CN2022/116247;18274486;G;;
US;PCT/CN2022/118523;18691676;R;;
US;PCT/US2022/041394;18686949;C;;
US;PCT/CN2022/117091;18689166;D;;
US;PCT/US2022/077864;18689053;G;;
US;PCT/EP2022/063267;18570737;C;;
US;PCT/US2022/076276;18691502;R;;
US;PCT/EP2022/075426;18692318;C;;
US;PCT/CN2023/133952;18686922;D;;
US;PCT/CN2021/120420;18690035;G;;
US;PCT/EP2022/067200;18575239;C;;
US;PCT/EP2022/074845;18689994;R;;
US;PCT/JP2021/002598;18274136;C;;
US;PCT/ES2022/070545;18686893;D;;
US;PCT/US2022/044195;18694007;G;;
US;PCT/JP2022/039079;18702620;C;;
US;PCT/KR2023/007530;18685314;R;;
US;PCT/EP2022/076132;18692354;C;;
US;PCT/EP2022/079987;18705718;D;;
US;PCT/CN2023/081484;18684692;G;;
US;PCT/US2022/077920;18700473;W;;
US;PCT/CN2022/082562;18023689;D;;
US;PCT/CN2022/071224;17637823;G;;
US;PCT/US2022/076200;18684705;R;;
US;PCT/JP2022/040931;18704121;C;;
US;PCT/JP2021/048506;18262916;D;;
US;PCT/US2021/016051;18262899;G;;
US;PCT/CN2023/094987;18703729;W;;
US;PCT/EP2022/078935;18708161;D;;
US;PCT/EP2022/082177;18708248;G;;
US;PCT/CN2022/098528;18168875;R;;
US;PCT/US2022/077911;18698745;C;;
US;PCT/US2022/048629;18709925;R;;
US;PCT/IB2022/050368;18281320;W;;
US;PCT/JP2022/032075;18686021;D;;
US;PCT/US2021/047950;18686965;G;;
US;PCT/JP2022/020949;18563991;W;;
US;PCT/CN2023/108399;18555247;C;;
US;PCT/CA2022/051519;18701295;R;;
US;PCT/IB2022/059950;18699517;W;;
US;PCT/EP2022/077711;18698528;D;;
US;PCT/EP2022/078958;18706946;G;;
US;PCT/CN2021/128488;18706836;W;;
US;PCT/GB2022/052551;18699458;C;;
US;PCT/US2021/065422;18710210;R;;
US;PCT/CA2023/050206;18039261;W;;
US;PCT/KR2022/020394;18279119;D;;
US;PCT/EP2022/078331;18698639;G;;
US;PCT/US2022/047590;18703098;W;;
US;PCT/EP2022/076148;18691971;C;;
US;PCT/JP2022/038412;18698369;R;;
US;PCT/EP2022/077187;18691590;W;;
US;PCT/DE2021/100985;18274121;D;;
US;PCT/EP2022/078494;18699740;G;;
US;PCT/US2022/045993;18698407;W;;
US;PCT/CN2022/119377;18264493;C;;
US;PCT/US2022/075590;18687476;R;;
US;PCT/CN2022/116026;18687201;W;;
US;PCT/CN2023/142591;18294619;D;;
US;PCT/JP2022/031078;18692591;G;;
US;PCT/JP2021/041214;18700765;W;;
US;PCT/US2022/042600;18690053;C;;
US;PCT/EP2022/070275;18292617;R;;
US;PCT/CN2022/114427;18687195;W;;
US;PCT/JP2022/042469;18705940;D;;
US;PCT/SE2021/050894;18692548;G;;
US;PCT/EP2021/083001;18274112;W;;
US;PCT/FI2022/050622;18692414;R;;
US;PCT/NL2022/050477;18684786;W;;
US;PCT/US2022/046089;18699101;D;;
US;PCT/JP2021/039784;18698924;G;;
US;PCT/US2022/079533;18707725;W;;
US;PCT/JP2022/033658;18696729;R;;
US;PCT/KR2023/016245;18683461;W;;
US;PCT/IB2022/060726;18701004;D;;
US;PCT/AU2021/051256;18705255;G;;
US;PCT/IB2022/059815;18698970;W;;
US;PCT/CN2022/127348;18705326;R;;
US;PCT/EP2022/061838;18289244;C;;
US;PCT/JP2022/034421;18692136;D;;
US;PCT/US2022/043792;18692635;G;;
US;PCT/EP2022/076398;18693496;R;;
US;PCT/IB2022/057712;18703040;C;;
US;PCT/EP2022/000097;18701762;D;;
US;PCT/EP2022/082128;18709316;G;;
US;PCT/US2022/047076;18701644;R;;
US;PCT/GB2022/053006;18712311;C;;
US;PCT/JP2022/041164;18708095;D;;
US;PCT/EP2022/079626;18707953;G;;
US;PCT/US2022/038249;18290700;R;;
US;PCT/KR2023/001802;18699247;C;;
US;PCT/CN2022/096209;18264451;D;;
US;PCT/KR2021/017757;18039216;G;;
US;PCT/EP2022/068427;18685415;R;;
US;PCT/KR2021/020267;18569686;C;;
US;PCT/DE2022/100587;18689908;D;;
US;PCT/JP2021/035728;18693926;G;;
US;PCT/CN2021/115338;18682562;C;;
US;PCT/US2022/040272;18683880;R;;
US;PCT/TR2022/050112;18274067;C;;
US;PCT/EP2022/081245;18705712;D;;
US;PCT/EP2022/070971;18293473;G;;
US;PCT/US2022/013981;18684754;C;;
US;PCT/US2022/076005;18683545;R;;
US;PCT/EP2021/081441;18699214;C;;
US;PCT/GB2022/052274;18690410;D;;
US;PCT/US2022/047679;18690325;G;;
US;PCT/US2022/027284;18719542;C;;
US;PCT/IB2022/059679;18690306;R;;
US;PCT/EP2022/077567;18699201;C;;
US;PCT/KR2021/016422;18575260;D;;
US;PCT/IB2022/062530;18725759;G;;
US;PCT/JP2022/041564;18703996;W;;
US;PCT/CA2022/050774;18561568;D;;
US;PCT/EP2022/078424;18698509;G;;
US;PCT/EP2022/084181;18703566;R;;
US;PCT/EP2022/078400;18700526;C;;
US;PCT/CN2021/141278;17907489;R;;
US;PCT/IN2022/050851;18693539;W;;
US;PCT/CN2021/125787;18701266;D;;
US;PCT/JP2022/037494;18701254;G;;
US;PCT/CN2021/141183;17623899;W;;
US;PCT/CN2022/123304;18696769;C;;
US;PCT/JP2021/037198;18698581;R;;
US;PCT/GB2022/052515;18699408;W;;
US;PCT/CN2022/130330;18698522;D;;
US;PCT/JP2022/036991;18698428;G;;
US;PCT/EP2022/078809;18708231;W;;
US;PCT/EP2022/084909;18716888;C;;
US;PCT/CN2022/111713;18294928;R;;
US;PCT/CN2022/101797;18698668;R;;
US;PCT/IB2022/060273;18708062;W;;
US;PCT/EP2022/077021;18699292;D;;
US;PCT/EP2022/084404;18698442;G;;
US;PCT/EP2023/065434;18686066;W;;
US;PCT/EP2022/078146;18699401;C;;
US;PCT/US2022/045801;18699261;R;;
US;PCT/EP2022/075839;18692952;W;;
US;PCT/JP2022/036060;18696616;D;;
US;PCT/EP2022/067679;18574895;G;;
US;PCT/US2022/050217;18712452;W;;
US;PCT/JP2022/002255;18273864;C;;
US;PCT/US2022/046183;18699841;R;;
US;PCT/KR2021/013434;18684821;W;;
US;PCT/CN2022/072646;18706170;D;;
US;PCT/CN2022/110683;18687064;G;;
US;PCT/JP2022/040094;18708087;W;;
US;PCT/JP2022/032814;18690888;C;;
US;PCT/EP2022/050225;18262716;R;;
US;PCT/KR2022/009455;18683445;W;;
US;PCT/CN2022/142896;18555533;D;;
US;PCT/KR2021/020154;18274007;G;;
US;PCT/CN2022/122381;18274103;W;;
US;PCT/KR2023/002675;18685190;C;;
US;PCT/JP2021/009984;18273975;R;;
US;PCT/KR2023/014426;18719377;W;;
US;PCT/CN2022/126220;18705968;D;;
US;PCT/KR2022/011485;18294870;G;;
US;PCT/GB2022/050212;18274032;W;;
US;PCT/FR2022/051466;18291030;R;;
US;PCT/GB2022/051132;18288711;W;;
US;PCT/EP2022/078026;18700507;D;;
US;PCT/US2021/047590;18684133;G;;
US;PCT/US2022/078638;18692212;W;;
US;PCT/IB2022/050211;18274035;G;;
US;PCT/US2022/079861;18712654;W;;
US;PCT/EP2022/072798;18683945;C;;
US;PCT/EP2022/051953;18274057;R;;
US;PCT/US2022/076230;18690225;W;;
US;PCT/EP2022/072984;18684452;D;;
US;PCT/US2022/079245;18706126;G;;
US;PCT/JP2022/038359;18702178;W;;
US;PCT/EP2022/072908;18686923;C;;
US;PCT/IN2022/050836;18699030;R;;
US;PCT/CN2022/101262;18575291;W;;
US;PCT/US2022/013464;18683026;D;;
US;PCT/DE2022/100598;18682996;G;;
US;PCT/EP2022/074936;18692603;W;;
US;PCT/US2022/078723;18704032;R;;
US;PCT/JP2023/011160;18727039;W;;
US;PCT/JP2022/042972;18700299;D;;
US;PCT/JP2022/025175;18708594;G;;
US;PCT/JP2022/035000;18695108;W;;
US;PCT/CN2022/125087;18700555;R;;
US;PCT/JP2021/024839;17910338;C;;
US;PCT/GB2022/052736;18705118;D;;
US;PCT/US2022/047844;18704951;G;;
US;PCT/EP2022/080117;18704012;W;;
US;PCT/US2022/077879;18700446;R;;
US;PCT/CN2022/129877;18708194;C;;
US;PCT/CN2023/089713;18563404;D;;
US;PCT/CN2022/102890;18693702;G;;
US;PCT/US2022/077166;18696236;R;;
US;PCT/JP2022/001658;18721486;C;;
US;PCT/EP2022/076396;18696076;D;;
US;PCT/KR2023/012756;18696156;G;;
US;PCT/GB2022/052815;18708039;R;;
US;PCT/US2022/077933;18712587;C;;
US;PCT/EP2022/051324;18273812;D;;
US;PCT/JP2022/048278;18262618;G;;
US;PCT/KR2023/004416;18274603;R;;
US;PCT/CN2022/121828;18708209;C;;
US;PCT/JP2022/032725;18686512;D;;
US;PCT/CN2022/135763;18692869;G;;
US;PCT/KR2022/017221;18703561;C;;
US;PCT/DE2022/100707;18692897;R;;
US;PCT/EP2022/068227;18574869;C;;
US;PCT/IB2021/000711;18694143;D;;
US;PCT/IB2022/057740;18684680;G;;
US;PCT/EP2022/074833;18690233;C;;
US;PCT/EP2022/079731;18689974;R;;
US;PCT/EP2021/080363;18706030;C;;
US;PCT/JP2022/036521;18691616;D;;
US;PCT/JP2021/031487;18685405;G;;
US;PCT/US2022/013881;18262894;C;;
US;PCT/KR2022/012064;18685232;R;;
US;PCT/US2022/046830;18692529;C;;
US;PCT/EP2022/080095;18703437;D;;
US;PCT/IB2022/060421;18705551;G;;
US;PCT/FR2020/051057;17619850;D;;
US;PCT/US2019/046590;17268485;G;;
US;PCT/JP2022/040323;18705819;R;;
US;PCT/IB2023/050184;18566653;C;;
US;PCT/EP2022/073292;18683521;D;;
US;PCT/IN2021/050516;18262897;G;;
US;PCT/EP2022/077739;18698754;W;;
US;PCT/JP2022/040767;18708203;D;;
US;PCT/JP2021/042259;18710072;G;;
US;PCT/JP2022/034768;18683517;R;;
US;PCT/EP2022/080251;18705225;C;;
US;PCT/US2022/073385;18573305;R;;
US;PCT/CN2022/108859;18290762;W;;
US;PCT/EP2022/082229;18710223;D;;
US;PCT/US2022/039168;18294916;G;;
US;PCT/EP2022/081177;18708206;W;;
US;PCT/IB2021/059469;18700476;C;;
US;PCT/US2022/048699;18707031;R;;
US;PCT/CN2022/130508;18707988;W;;
US;PCT/GB2022/052771;18707392;D;;
US;PCT/DE2022/100781;18702867;G;;
US;PCT/CN2022/138626;18718353;W;;
US;PCT/EP2022/080073;18701831;C;;
US;PCT/US2022/078552;18702706;R;;
US;PCT/CN2023/124276;18686246;R;;
US;PCT/CN2022/116714;18273893;W;;
US;PCT/CN2023/102064;18699269;D;;
US;PCT/EP2022/081012;18713959;G;;
US;PCT/US2022/047438;18703124;W;;
US;PCT/KR2022/016787;18707852;C;;
US;PCT/KR2023/000454;18699252;R;;
US;PCT/EP2022/025384;18686626;W;;
US;PCT/US2022/013454;18274058;D;;
US;PCT/KR2022/008609;18575076;G;;
US;PCT/EP2022/083947;18710437;W;;
US;PCT/US2022/076117;18689897;C;;
US;PCT/US2022/078563;18704873;R;;
US;PCT/EP2022/073357;18294041;W;;
US;PCT/US2022/041977;18684376;D;;
US;PCT/EP2021/025485;18274113;G;;
US;PCT/EP2022/078671;18700974;W;;
US;PCT/US2022/076249;18689965;C;;
US;PCT/IB2022/059206;18697006;R;;
US;PCT/JP2021/029613;18682741;W;;
US;PCT/US2022/048618;18706109;D;;
US;PCT/US2022/077459;18692245;G;;
US;PCT/KR2022/016815;18706010;W;;
US;PCT/CN2021/118618;18692464;R;;
US;PCT/CN2023/096136;18705904;W;;
US;PCT/AU2022/051230;18700963;D;;
US;PCT/CN2022/120544;18291061;G;;
US;PCT/EP2022/050604;18274003;W;;
US;PCT/CN2022/118058;18692818;R;;
US;PCT/CN2023/077430;18702413;W;;
US;PCT/US2022/048217;18705129;D;;
US;PCT/JP2022/041611;18703834;G;;
US;PCT/CA2022/051138;18290853;W;;
US;PCT/US2022/075396;18685686;R;;
US;PCT/CA2022/051297;18687288;C;;
US;PCT/EP2022/074423;18684094;D;;
US;PCT/CN2022/121432;18703494;G;;
US;PCT/CN2021/113455;18684514;W;;
US;PCT/JP2022/028394;18687713;R;;
US;PCT/FR2022/052029;18707133;C;;
US;PCT/EP2022/073701;18691921;D;;
US;PCT/GB2023/050050;18728722;G;;
US;PCT/GB2022/051734;18290717;R;;
US;PCT/US2022/039518;18294831;C;;
US;PCT/KR2022/015910;18698266;D;;
US;PCT/IB2022/059687;18697596;G;;
US;PCT/US2022/077808;18699533;R;;
US;PCT/CA2022/051681;18710441;C;;
US;PCT/CN2022/077827;18269978;D;;
US;PCT/CA2022/050674;18288222;G;;
US;PCT/IB2022/057851;18683932;R;;
US;PCT/EP2022/081074;18708240;C;;
US;PCT/KR2021/011009;18684828;D;;
US;PCT/KR2023/007876;18693428;G;;
US;PCT/EP2022/064316;18570667;C;;
US;PCT/JP2022/026405;18684835;R;;
US;PCT/US2022/047371;18703327;C;;
US;PCT/AU2022/051312;18705818;D;;
US;PCT/JP2022/032303;18685385;G;;
US;PCT/EP2022/076903;18705790;C;;
US;PCT/EP2022/079344;18705817;R;;
US;PCT/EP2022/052089;18274054;C;;
US;PCT/US2022/032442;18683477;D;;
US;PCT/IB2021/000637;18690485;G;;
US;PCT/IB2022/060096;18702429;C;;
US;PCT/US2021/058921;18690234;R;;
US;PCT/IB2022/059493;18698770;C;;
US;PCT/US2021/051455;18684788;D;;
US;PCT/EP2023/050458;18730393;G;;
US;PCT/AU2022/050958;18685737;W;;
US;PCT/CN2022/143544;18026649;D;;
US;PCT/JP2022/027815;18580808;G;;
US;PCT/FR2022/052017;18705713;R;;
US;PCT/US2022/045796;18698980;C;;
US;PCT/CN2023/076459;18841346;G;;
US;PCT/JP2021/032488;18687914;W;;
