Affiliations                                 	   Record Count	       % of 2,094

GHENT UNIVERSITY                             	            119	     5.683
SOUTHEAST UNIVERSITY CHINA                   	            107	     5.110
SHENZHEN UNIVERSITY                          	             87	     4.155
TONGJI UNIVERSITY                            	             79	     3.773
DELFT UNIVERSITY OF TECHNOLOGY               	             78	     3.725
POLYTECHNIC UNIVERSITY OF MILAN              	             57	     2.722
WUHAN UNIVERSITY OF TECHNOLOGY               	             46	     2.197
HARBIN INSTITUTE OF TECHNOLOGY               	             44	     2.101
UNIVERSITY OF CAMBRIDGE                      	             43	     2.053
UNIVERSITY OF MICHIGAN                       	             40	     1.910
UNIVERSITY OF MICHIGAN SYSTEM                	             40	     1.910
CARDIFF UNIVERSITY                           	             38	     1.815
EGYPTIAN KNOWLEDGE BANK EKB                  	             32	     1.528
NANYANG TECHNOLOGICAL UNIVERSITY             	             31	     1.480
TORONTO METROPOLITAN UNIVERSITY              	             31	     1.480
VRIJE UNIVERSITEIT BRUSSEL                   	             26	     1.242
POLYTECHNIC UNIVERSITY OF TURIN              	             24	     1.146
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM  	             22	     1.051
UNITED STATES DEPARTMENT OF ENERGY DOE       	             22	     1.051
CHONGQING UNIVERSITY                         	             21	     1.003
GAZI UNIVERSITY                              	             19	     0.907
HANYANG UNIVERSITY                           	             19	     0.907
CHANG AN UNIVERSITY                          	             18	     0.860
HACETTEPE UNIVERSITY                         	             18	     0.860
HOHAI UNIVERSITY                             	             18	     0.860
KU LEUVEN                                    	             18	     0.860
UNIVERSITAT POLITECNICA DE VALENCIA          	             18	     0.860
CENTRAL SOUTH UNIVERSITY                     	             17	     0.812
HONG KONG POLYTECHNIC UNIVERSITY             	             17	     0.812
JIANGSU UNIVERSITY OF SCIENCE TECHNOLOGY     	             17	     0.812
NATIONAL UNIVERSITY OF SCIENCES TECHNOLOGY PA	             17	     0.812
KISTAN                                       	               	          
SHANDONG UNIVERSITY                          	             17	     0.812
UNIVERSITE LIBRE DE BRUXELLES                	             17	     0.812
UNIVERSITY OF CALIFORNIA SYSTEM              	             17	     0.812
UNIVERSITY OF TECHNOLOGY SYDNEY              	             17	     0.812
UNIVERSITY OF TEXAS SYSTEM                   	             17	     0.812
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	             16	     0.764
AS CSIC                                      	               	          
DALIAN UNIVERSITY OF TECHNOLOGY              	             16	     0.764
PRINCE SATTAM BIN ABDULAZIZ UNIVERSITY       	             16	     0.764
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY    	             16	     0.764
ZHEJIANG UNIVERSITY                          	             16	     0.764
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             15	     0.716
CNRS                                         	               	          
GAZIANTEP UNIVERSITY                         	             15	     0.716
TIANJIN UNIVERSITY                           	             15	     0.716
UNIVERSITY OF BATH                           	             15	     0.716
CHINA UNIVERSITY OF PETROLEUM                	             14	     0.669
CHINESE ACADEMY OF SCIENCES                  	             14	     0.669
QINGDAO UNIVERSITY OF TECHNOLOGY             	             14	     0.669
SUNGKYUNKWAN UNIVERSITY SKKU                 	             14	     0.669
NATIONAL CHENG KUNG UNIVERSITY               	             13	     0.621
SOUTHWEST PETROLEUM UNIVERSITY               	             13	     0.621
YONSEI UNIVERSITY                            	             13	     0.621
FUZHOU UNIVERSITY                            	             12	     0.573
HONG KONG UNIVERSITY OF SCIENCE TECHNOLOGY   	             12	     0.573
KANGWON NATIONAL UNIVERSITY                  	             12	     0.573
KOREA UNIVERSITY                             	             12	     0.573
PACIFIC NORTHWEST NATIONAL LABORATORY        	             12	     0.573
SIM VZW                                      	             12	     0.573
UNIVERSITY OF ILLINOIS SYSTEM                	             12	     0.573
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN      	             12	     0.573
ZHENGZHOU UNIVERSITY                         	             12	     0.573
BEIJING UNIVERSITY OF TECHNOLOGY             	             11	     0.525
CSIC INSTITUTO DE CIENCIAS DE LA CONSTRUCCION	             11	     0.525
EDUARDO TORROJA IETCC                        	               	          
LOUISIANA STATE UNIVERSITY                   	             11	     0.525
LOUISIANA STATE UNIVERSITY SYSTEM            	             11	     0.525
NANJING UNIVERSITY OF SCIENCE TECHNOLOGY     	             11	     0.525
NATIONAL UNIVERSITY OF SINGAPORE             	             11	     0.525
OZYEGIN UNIVERSITY                           	             11	     0.525
THAPAR INSTITUTE OF ENGINEERING TECHNOLOGY   	             11	     0.525
UNIVERSITY OF CALIFORNIA LOS ANGELES         	             11	     0.525
UNIVERSITY OF TOKYO                          	             11	     0.525
