Affiliations                                 	   Record Count	         % of 637

CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             47	     7.378
CNRS                                         	               	          
NORTHWESTERN POLYTECHNICAL UNIVERSITY        	             34	     5.338
CHINESE ACADEMY OF SCIENCES                  	             33	     5.181
DELFT UNIVERSITY OF TECHNOLOGY               	             31	     4.867
CEA                                          	             30	     4.710
YOKOHAMA NATIONAL UNIVERSITY                 	             29	     4.553
UNIVERSITE DE BORDEAUX                       	             25	     3.925
UNITED STATES DEPARTMENT OF ENERGY DOE       	             21	     3.297
CNRS INSTITUTE OF CHEMISTRY INC              	             17	     2.669
HARBIN INSTITUTE OF TECHNOLOGY               	             16	     2.512
HELMHOLTZ ASSOCIATION                        	             16	     2.512
NAGAOKA UNIVERSITY OF TECHNOLOGY             	             14	     2.198
NATIONAL INSTITUTE FOR MATERIALS SCIENCE     	             14	     2.198
UNIVERSITY OF MANCHESTER                     	             12	     1.884
CENTRAL SOUTH UNIVERSITY                     	             11	     1.727
SAFRAN S A                                   	             11	     1.727
SHANGHAI INSTITUTE OF CERAMICS CAS           	             11	     1.727
UNIVERSITY SYSTEM OF OHIO                    	             11	     1.727
UNIVERSITY OF WISCONSIN SYSTEM               	             10	     1.570
RUSSIAN ACADEMY OF SCIENCES                  	              9	     1.413
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENC	              8	     1.256
ES INSIS                                     	               	          
TOHOKU UNIVERSITY                            	              8	     1.256
TSINGHUA UNIVERSITY                          	              8	     1.256
BEIJING JIAOTONG UNIVERSITY                  	              7	     1.099
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	              7	     1.099
AS CSIC                                      	               	          
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE 	              7	     1.099
LYON INSA LYON                               	               	          
INSTITUTE OF METAL RESEARCH CAS              	              7	     1.099
INSTITUTE OF STRENGTH PHYSICS MATERIALS SCIEN	              7	     1.099
CE SIBERIAN BRANCH OF THE RAS                	               	          
KUSHIRO COLL                                 	              7	     1.099
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHI	              7	     1.099
NA                                           	               	          
PACIFIC NORTHWEST NATIONAL LABORATORY        	              7	     1.099
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	              7	     1.099
UCATION PCSHE                                	               	          
TECHNICAL UNIVERSITY OF DARMSTADT            	              7	     1.099
UNITED STATES DEPARTMENT OF DEFENSE          	              7	     1.099
UNIVERSITE PARIS SACLAY                      	              7	     1.099
UNIVERSITY OF GRONINGEN                      	              7	     1.099
WUHAN UNIVERSITY OF TECHNOLOGY               	              7	     1.099
XI AN JIAOTONG UNIVERSITY                    	              7	     1.099
COMMUNAUTE UNIVERSITE GRENOBLE ALPES         	              6	     0.942
