Affiliations                                 	   Record Count	       % of 3,639

CHINESE ACADEMY OF SCIENCES                  	            287	     7.887
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	             98	     2.693
SICHUAN UNIVERSITY                           	             81	     2.226
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYS	             75	     2.061
TEM                                          	               	          
MAX PLANCK SOCIETY                           	             72	     1.979
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY    	             71	     1.951
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             70	     1.924
CNRS                                         	               	          
UNITED STATES DEPARTMENT OF ENERGY DOE       	             64	     1.759
SOUTH CHINA UNIVERSITY OF TECHNOLOGY         	             61	     1.676
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA CAS	             57	     1.566
TSINGHUA UNIVERSITY                          	             53	     1.456
ZHEJIANG UNIVERSITY                          	             53	     1.456
SHANDONG UNIVERSITY                          	             47	     1.292
UNIVERSITY OF CALIFORNIA SYSTEM              	             46	     1.264
DELFT UNIVERSITY OF TECHNOLOGY               	             45	     1.237
NANJING UNIVERSITY                           	             45	     1.237
XI AN JIAOTONG UNIVERSITY                    	             45	     1.237
HELMHOLTZ ASSOCIATION                        	             44	     1.209
SOUTHEAST UNIVERSITY CHINA                   	             43	     1.182
FRIEDRICH SCHILLER UNIVERSITY OF JENA        	             42	     1.154
INST COLOR SCI TECHNOL                       	             41	     1.127
HARBIN INSTITUTE OF TECHNOLOGY               	             40	     1.099
NINGBO INSTITUTE OF MATERIALS TECHNOLOGY AND 	             40	     1.099
ENGINEERING CAS                              	               	          
UNIVERSITY OF WISCONSIN SYSTEM               	             40	     1.099
UNIVERSITY OF SCIENCE TECHNOLOGY BEIJING     	             39	     1.072
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY    	             38	     1.044
CENTRAL SOUTH UNIVERSITY                     	             37	     1.017
JILIN UNIVERSITY                             	             37	     1.017
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT    	             36	     0.989
RUSSIAN ACADEMY OF SCIENCES                  	             36	     0.989
NANJING FORESTRY UNIVERSITY                  	             35	     0.962
UNIVERSITY SYSTEM OF OHIO                    	             33	     0.907
CHONGQING UNIVERSITY                         	             32	     0.879
UNIVERSITY OF WISCONSIN MILWAUKEE            	             32	     0.879
INDIAN INSTITUTE OF TECHNOLOGY IIT KHARAGPUR 	             31	     0.852
SHANGHAI JIAO TONG UNIVERSITY                	             31	     0.852
ZHENGZHOU UNIVERSITY                         	             31	     0.852
TIANJIN UNIVERSITY                           	             30	     0.824
FUDAN UNIVERSITY                             	             29	     0.797
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM  	             29	     0.797
WUHAN UNIVERSITY OF TECHNOLOGY               	             29	     0.797
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSI	             28	     0.769
R INDIA                                      	               	          
SUN YAT SEN UNIVERSITY                       	             28	     0.769
SOOCHOW UNIVERSITY CHINA                     	             27	     0.742
NORTH CAROLINA STATE UNIVERSITY              	             26	     0.714
CHINA UNIVERSITY OF PETROLEUM                	             25	     0.687
NANJING UNIVERSITY OF SCIENCE TECHNOLOGY     	             25	     0.687
NORTHWESTERN POLYTECHNICAL UNIVERSITY        	             25	     0.687
PEKING UNIVERSITY                            	             25	     0.687
SUNGKYUNKWAN UNIVERSITY SKKU                 	             25	     0.687
LUDONG UNIVERSITY                            	             24	     0.660
SHENZHEN UNIVERSITY                          	             24	     0.660
DEPARTMENT OF SCIENCE TECHNOLOGY INDIA       	             23	     0.632
NANJING TECH UNIVERSITY                      	             23	     0.632
OCEAN UNIVERSITY OF CHINA                    	             23	     0.632
QILU UNIVERSITY OF TECHNOLOGY                	             23	     0.632
XIAMEN UNIVERSITY                            	             23	     0.632
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	             22	     0.605
AS CSIC                                      	               	          
HUNAN UNIVERSITY                             	             22	     0.605
INSTITUTE OF OCEANOLOGY CAS                  	             22	     0.605
QINGDAO UNIVERSITY OF SCIENCE TECHNOLOGY     	             22	     0.605
SOUTHWEST PETROLEUM UNIVERSITY               	             22	     0.605
UNIVERSITY OF TEXAS SYSTEM                   	             22	     0.605
JIANGNAN UNIVERSITY                          	             21	     0.577
NANJING UNIVERSITY OF AERONAUTICS ASTRONAUTIC	             21	     0.577
S                                            	               	          
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	             21	     0.577
CNRS INSTITUTE OF CHEMISTRY INC              	             20	     0.550
CONSIGLIO NAZIONALE DELLE RICERCHE CNR       	             20	     0.550
DALIAN UNIVERSITY OF TECHNOLOGY              	             20	     0.550
INSTITUTE OF METAL RESEARCH CAS              	             20	     0.550
NORTHEASTERN UNIVERSITY CHINA                	             20	     0.550
TEXAS A M UNIVERSITY SYSTEM                  	             20	     0.550
UNIVERSIDADE DE AVEIRO                       	             20	     0.550
UNIVERSITY OF ELECTRONIC SCIENCE TECHNOLOGY O	             20	     0.550
F CHINA                                      	               	          
NANYANG TECHNOLOGICAL UNIVERSITY             	             19	     0.522
NATIONAL UNIVERSITY OF SINGAPORE             	             19	     0.522
TEXAS A M UNIVERSITY COLLEGE STATION         	             19	     0.522
TONGJI UNIVERSITY                            	             19	     0.522
YONSEI UNIVERSITY                            	             19	     0.522
BEIHANG UNIVERSITY                           	             18	     0.495
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENC	             18	     0.495
ES INSIS                                     	               	          
LANZHOU INSTITUTE OF CHEMICAL PHYSICS CAS    	             18	     0.495
UNITED STATES DEPARTMENT OF DEFENSE          	             18	     0.495
UNIVERSITY OF WOLLONGONG                     	             18	     0.495
EAST CHINA UNIVERSITY OF SCIENCE TECHNOLOGY  	             17	     0.467
KARLSRUHE INSTITUTE OF TECHNOLOGY            	             17	     0.467
MINIST EDUC                                  	             17	     0.467
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY    	             17	     0.467
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM     	             17	     0.467
UNIVERSITY OF ILLINOIS SYSTEM                	             17	     0.467
DONGHUA UNIVERSITY                           	             16	     0.440
GOLESTAN UNIVERSITY                          	             16	     0.440
GUANGDONG UNIVERSITY OF TECHNOLOGY           	             16	     0.440
GUANGXI UNIVERSITY                           	             16	     0.440
HONG KONG POLYTECHNIC UNIVERSITY             	             16	     0.440
PETER THE GREAT ST PETERSBURG POLYTECHNIC UNI	             16	     0.440
VERSITY                                      	               	          
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN      	             16	     0.440
UNIVERSITY OF TOKYO                          	             16	     0.440
WUHAN UNIVERSITY                             	             16	     0.440
ARGONNE NATIONAL LABORATORY                  	             15	     0.412
EGYPTIAN KNOWLEDGE BANK EKB                  	             15	     0.412
HEBEI UNIVERSITY OF TECHNOLOGY               	             15	     0.412
JIANGSU UNIVERSITY                           	             15	     0.412
JIANGSU UNIVERSITY OF SCIENCE TECHNOLOGY     	             15	     0.412
LAOSHAN LABORATORY                           	             15	     0.412
NANKAI UNIVERSITY                            	             15	     0.412
NINGBO UNIVERSITY                            	             15	     0.412
STANFORD UNIVERSITY                          	             15	     0.412
TECHNICAL INSTITUTE OF PHYSICS CHEMISTRY CAS 	             15	     0.412
COMMUNAUTE UNIVERSITE GRENOBLE ALPES         	             14	     0.385
DEAKIN UNIVERSITY                            	             14	     0.385
KUNMING UNIVERSITY OF SCIENCE TECHNOLOGY     	             14	     0.385
MONASH UNIVERSITY                            	             14	     0.385
OAK RIDGE NATIONAL LABORATORY                	             14	     0.385
TECHNISCHE UNIVERSITAT DRESDEN               	             14	     0.385
BEIJING INSTITUTE OF TECHNOLOGY              	             13	     0.357
CEA                                          	             13	     0.357
CITY UNIVERSITY OF HONG KONG                 	             13	     0.357
INSTITUTE OF PHYSICS CAS                     	             13	     0.357
MCGILL UNIVERSITY                            	             13	     0.357
NORTHWESTERN UNIVERSITY                      	             13	     0.357
SEOUL NATIONAL UNIVERSITY SNU                	             13	     0.357
STATE UNIVERSITY SYSTEM OF FLORIDA           	             13	     0.357
UNIVERSITE GRENOBLE ALPES UGA                	             13	     0.357
UNIVERSITY OF CALIFORNIA IRVINE              	             13	     0.357
UNIVERSITY OF TEXAS AUSTIN                   	             13	     0.357
AMIRKABIR UNIVERSITY OF TECHNOLOGY           	             12	     0.330
