Affiliations                                 	   Record Count	      % of 10,494

CHINESE ACADEMY OF SCIENCES                  	            629	     5.994
SICHUAN UNIVERSITY                           	            271	     2.582
SOUTH CHINA UNIVERSITY OF TECHNOLOGY         	            255	     2.430
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	            220	     2.096
UNIVERSITY OF ILLINOIS SYSTEM                	            180	     1.715
SUN YAT SEN UNIVERSITY                       	            175	     1.668
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY    	            158	     1.506
NANJING FORESTRY UNIVERSITY                  	            158	     1.506
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN      	            156	     1.487
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYS	            154	     1.468
TEM                                          	               	          
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	            149	     1.420
CNRS                                         	               	          
TSINGHUA UNIVERSITY                          	            145	     1.382
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA CAS	            137	     1.306
UNIVERSITY OF CALIFORNIA SYSTEM              	            134	     1.277
HARBIN INSTITUTE OF TECHNOLOGY               	            129	     1.229
TIANJIN UNIVERSITY                           	            127	     1.210
ZHEJIANG UNIVERSITY                          	            121	     1.153
GHENT UNIVERSITY                             	            118	     1.124
DELFT UNIVERSITY OF TECHNOLOGY               	            117	     1.115
NORTHWESTERN POLYTECHNICAL UNIVERSITY        	            115	     1.096
JILIN UNIVERSITY                             	            114	     1.086
MAX PLANCK SOCIETY                           	            111	     1.058
SHANGHAI JIAO TONG UNIVERSITY                	            106	     1.010
UNIVERSITY SYSTEM OF OHIO                    	            105	     1.001
NANJING UNIVERSITY                           	            104	     0.991
SOOCHOW UNIVERSITY CHINA                     	             94	     0.896
UNITED STATES DEPARTMENT OF ENERGY DOE       	             93	     0.886
VRIJE UNIVERSITEIT BRUSSEL                   	             93	     0.886
XI AN JIAOTONG UNIVERSITY                    	             92	     0.877
DONGHUA UNIVERSITY                           	             86	     0.820
SHANDONG UNIVERSITY                          	             86	     0.820
LOUISIANA STATE UNIVERSITY                   	             85	     0.810
LOUISIANA STATE UNIVERSITY SYSTEM            	             85	     0.810
SOUTHEAST UNIVERSITY CHINA                   	             85	     0.810
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	             84	     0.800
NANYANG TECHNOLOGICAL UNIVERSITY             	             81	     0.772
QINGDAO UNIVERSITY OF SCIENCE TECHNOLOGY     	             79	     0.753
NANJING TECH UNIVERSITY                      	             76	     0.724
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY    	             75	     0.715
ZHENGZHOU UNIVERSITY                         	             74	     0.705
FRIEDRICH SCHILLER UNIVERSITY OF JENA        	             73	     0.696
INSTITUTE OF CHEMISTRY CAS                   	             73	     0.696
MARTIN LUTHER UNIVERSITY HALLE WITTENBERG    	             73	     0.696
SHENZHEN UNIVERSITY                          	             73	     0.696
TONGJI UNIVERSITY                            	             73	     0.696
HELMHOLTZ ASSOCIATION                        	             71	     0.677
NANJING UNIVERSITY OF SCIENCE TECHNOLOGY     	             71	     0.677
CHINESE ACADEMY OF FORESTRY                  	             68	     0.648
FUDAN UNIVERSITY                             	             68	     0.648
NINGBO INSTITUTE OF MATERIALS TECHNOLOGY AND 	             68	     0.648
ENGINEERING CAS                              	               	          
JIANGNAN UNIVERSITY                          	             67	     0.638
NATIONAL UNIVERSITY OF SINGAPORE             	             67	     0.638
RUSSIAN ACADEMY OF SCIENCES                  	             67	     0.638
EAST CHINA UNIVERSITY OF SCIENCE TECHNOLOGY  	             66	     0.629
UNIVERSITY SYSTEM OF GEORGIA                 	             65	     0.619
INSTITUTE OF CHEMICAL INDUSTRY OF FOREST PROD	             63	     0.600
UCTS CAF                                     	               	          
SHAANXI UNIVERSITY OF SCIENCE TECHNOLOGY     	             63	     0.600
STANFORD UNIVERSITY                          	             63	     0.600
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM  	             62	     0.591
KOREA RESEARCH INSTITUTE OF CHEMICAL TECHNOLO	             61	     0.581
GY KRICT                                     	               	          
CHINA UNIVERSITY OF PETROLEUM                	             59	     0.562
GEORGIA INSTITUTE OF TECHNOLOGY              	             58	     0.553
CHANGCHUN INSTITUTE OF APPLIED CHEMISTRY CAS 	             57	     0.543
CNRS INSTITUTE OF CHEMISTRY INC              	             57	     0.543
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSI	             57	     0.543
R INDIA                                      	               	          
SEOUL NATIONAL UNIVERSITY SNU                	             56	     0.534
UNIVERSITY OF SCIENCE TECHNOLOGY BEIJING     	             56	     0.534
INDIAN INSTITUTE OF TECHNOLOGY IIT KHARAGPUR 	             53	     0.505
UNIVERSITY OF CAMBRIDGE                      	             53	     0.505
GUANGDONG UNIVERSITY OF TECHNOLOGY           	             51	     0.486
GUANGXI UNIVERSITY                           	             51	     0.486
ISTANBUL TECHNICAL UNIVERSITY                	             51	     0.486
KOREA INSTITUTE OF SCIENCE TECHNOLOGY KIST   	             51	     0.486
DALIAN UNIVERSITY OF TECHNOLOGY              	             50	     0.476
EINDHOVEN UNIVERSITY OF TECHNOLOGY           	             50	     0.476
KOREA UNIVERSITY                             	             50	     0.476
QILU UNIVERSITY OF TECHNOLOGY                	             50	     0.476
UNIVERSITY OF BRISTOL                        	             49	     0.467
UNIVERSITY OF TEXAS SYSTEM                   	             49	     0.467
EGYPTIAN KNOWLEDGE BANK EKB                  	             48	     0.457
UNIVERSITY OF ALBERTA                        	             48	     0.457
UNIVERSITY OF TOKYO                          	             48	     0.457
SOUTHWEST PETROLEUM UNIVERSITY               	             47	     0.448
UNIVERSITY OF COLORADO SYSTEM                	             47	     0.448
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	             46	     0.438
UCATION PCSHE                                	               	          
WUHAN UNIVERSITY OF TECHNOLOGY               	             46	     0.438
OSAKA UNIVERSITY                             	             45	     0.429
UNIVERSITY OF BASQUE COUNTRY                 	             45	     0.429
UNIVERSITY OF ELECTRONIC SCIENCE TECHNOLOGY O	             45	     0.429
F CHINA                                      	               	          
UNIVERSITY OF MICHIGAN SYSTEM                	             45	     0.429
STATE UNIVERSITY SYSTEM OF FLORIDA           	             44	     0.419
UNIVERSITY OF COLORADO BOULDER               	             44	     0.419
UNIVERSITY OF MICHIGAN                       	             44	     0.419
BEIJING INSTITUTE OF TECHNOLOGY              	             43	     0.410
LANZHOU INSTITUTE OF CHEMICAL PHYSICS CAS    	             43	     0.410
PEKING UNIVERSITY                            	             43	     0.410
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT    	             42	     0.400
ETH ZURICH                                   	             41	     0.391
SUNGKYUNKWAN UNIVERSITY SKKU                 	             41	     0.391
YONSEI UNIVERSITY                            	             41	     0.391
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	             40	     0.381
AS CSIC                                      	               	          
HEBEI UNIVERSITY OF TECHNOLOGY               	             40	     0.381
NANKAI UNIVERSITY                            	             40	     0.381
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH A STAR	             39	     0.372
CONSIGLIO NAZIONALE DELLE RICERCHE CNR       	             39	     0.372
NORTHWESTERN UNIVERSITY                      	             39	     0.372
CENTRAL SOUTH UNIVERSITY                     	             38	     0.362
CHANG AN UNIVERSITY                          	             38	     0.362
SOUTHERN UNIVERSITY A M COLLEGE              	             38	     0.362
